category_id,category,prompt,short_prompt,points,answer,image_url
1,In Your City,A lesbian*-owned and/or operated establishment in your city,Lesbian-owned Establishment,2,,"https://media.them.us/photos/5e1fa1b891b89900084cde7e/1:1/w_1369,h_1369,c_limit/BOILER_ROOM_ZK_08_logo.jpg"
2,Hollywood,A famous lesbian*,Famous Lesbian,1,,https://ctl.s6img.com/society6/img/nyipQVORQBondoKGOChvomUlxyk/w_1500/prints/~artwork/s6-original-art-uploads/society6/uploads/misc/ed42a976159a419a99fe145313e1314c/~~/celesbian-lesbian-popular-gay-girl-lgbtq-prints.jpg
3,General,A lesbian*-created invention,Lesbian-created Invention,2,,https://blog.directauto.com/wp-content/uploads/2017/01/womenInvent_660x440.jpg
4,Hollywood,A Movie Starring a Lesbian* Actor in First Billing,Movie Starring A Lesbian-First Billing,2,,https://hayleywilsona2mediastudies.files.wordpress.com/2015/04/bill-1.png
5,Hollywood,A Movie where the lead character is a lesbian*,Movie with Lead Character Lesbian,2,,https://hips.hearstapps.com/hmg-prod/images/new-years-movies-index-1640368473.jpg
6,Religion & Politics,A lesbian* religious leader,Lesbian Religious Leader,2,,https://cdn.churchleaders.com/wp-content/uploads/2021/05/CMA-women-pastors.jpg
7,Religion & Politics,A lesbian* rights organization,Lesbian Rights Organization,2,,https://content.gallup.com/origin/gallupinc/GallupSpaces/Production/Cms/POLL/cecpqb0xlkgyuzmr98mwna.jpg
8,Religion & Politics,A lesbian* politician,Lesbian Politician,2,,https://s.wsj.net/public/resources/images/RV-AL061_SCANDA_P_20130712143618.jpg
9,Music,A band with a lesbian*,Lesbian Band,1,,https://www.anu.edu.au/files/styles/anu_full_920_518/public/story/20201215_Punks_not_dead_edit.jpg
10,Hollywood,What show aired the first-ever lesbian wedding on US TV,TV Show with Lesbian Wedding,3,Friends,https://cdn.caratsandcake.com/_images/cache/175051416_756913401615692_4932787593564201821_n-618da555b58d5-186394-1636763268.jpg
11,Religion & Politics,The first known lesbian rights organization in the United States,1st Lesbian Rights Org in US,3,Daughters of Bilitis,https://miro.medium.com/v2/resize:fit:1400/1*ZALKzD9FYIWpDlLCmXxueA.jpeg
12,Books,A book featuring a prominent lesbian* character,Book with Prominent Lesbian Character,2,,https://media.istockphoto.com/id/1283454912/photo/happy-african-american-woman-reading-book-at-home.jpg?s=170667a&w=0&k=20&c=yhKu5aQym_O7FT1ueL06iaJ8vnqdU3DSnUfQ_mUa0qY=
13,Hollywood,A 90s movie or TV show featuring a lesbian* character,90s Movie/TV Show with Lesbian Character,2,,https://gomag.com/wp-content/uploads/2017/08/Gina-Gershon-as-Corky-in-Bound-gina-gershon-38675761-500-281.jpg
14,Sports,A lesbian* athlete,Lesbian Athlete,1,,https://justwomenssports.com/wp-content/uploads/2023/04/USATSI_20500654-scaled.jpg
15,In Your City,A lesbian* conference (i.e. tech/sports conference),Lesbian Conference,2,,https://www.godaddy.com/garage/wp-content/uploads/lesbians-who-tech-godaddy-squad.jpg
16,History,The lesbian* known for leading the Stonewall Riots,Lesbian Who Led Stonewall Riots,3,Stormé DeLarverie,https://media.cnn.com/api/v1/images/stellar/prod/190627160421-01-stonewall-history-restricted.jpg
17,Books,A lesbian* poet,Lesbian Poet,2,Sappho,https://cdn-icons-png.flaticon.com/512/5418/5418007.png
18,History,Which island once sought an injunction to try and stop people from using the word lesbian?,"Island that tried to Stop People from Using ""Lesbian""",3,Lesbos,https://cdn.internationalliving.com/wp-content/uploads/2021/07/Greek-Islands-Guide-and-Map.jpg
19,General,"What trucking company is the answer to the joke ""What do lesbians bring on a second date?""?",Trucking Company Lesbian Brings on 2nd Date,2,U-Haul,https://auto.edu/wp-content/uploads/ati-2-5.png
20,Music,"The lesbian* singers of the song ""Closer to Fine""",Closer to Fine Singers,1,The Indigo Girls,https://cdn11.bigcommerce.com/s-c6ecdqcvkp/images/stencil/590x590/products/78741/90569/SLPTDVTH1571__59899.1577704090.jpg?c=2
21,General,A lesbian* cruise line,Lesbian Cruise Line,1,Olivia,https://happygaytravel.com/cruises/olivia/Caribbean_2023/Olivia_Caribbean_lesbian_cruise.jpg
22,Books,This flower was used in the 1920s as a symbol of lesbian love,Flower in 1920s used for Lesbian Love,3,Violets - Poet Sappho (who symbolises the love and desire between women) had a penchant for young dames who wore violet tiaras.,https://htmlcolorcodes.com/assets/images/colors/violet-color-solid-background-1920x1080.png
23,General,The lesbian* pride flag,Lesbian-pride Flag,1,,https://thumbs.dreamstime.com/b/flag-icon-flat-style-flag-icon-flat-style-flag-symbol-isolated-white-background-simple-flag-abstract-icon-black-vector-118405687.jpg
24,Religion & Politics,The lead lesbian* plaintiff(s) in the 2013 Supreme Court case which overturned Section 3 of the Defense of Marriage Act,2013 Supreme Court Lesbian Plaintiff,2,,https://brownpoliticalreview.org/wp-content/uploads/2012/09/3187786543_a757021a5f_o-e1432506714692.jpg
25,General,The animal that has historically served as a symbol of the lesbian movement,Animal Symbol of Lesbian Movement,3,Rhino,https://m.media-amazon.com/images/I/81GTtiWCHYL.jpg
26,History,The first lesbian* comedian to perform at the Apollo,First Lesbian Comedian at The Apollo,3,"Jackie ""Moms"" Mabley in 1939",https://static01.nyt.com/images/2019/11/03/arts/03week-tv/merlin_163122402_3dc50fe1-2fb7-42cd-b950-d001a650cc77-superJumbo.jpg
27,General,The historical symbol of strength and unity for the lesbian* community,Historical Symbol of Strength & Unity for Lesbian Community,3,The labrys (a double-edged hatchet or axe). Demeter - the Goddess of Earth - used a labrys as her scepter,https://i.pinimg.com/736x/4b/11/d3/4b11d354a954a38994a2ec628f8659f0--awesome-art-anime-girls.jpg
28,In Your City,The first lesbian/feminist bookstore in the US,1st Lesbian Bookstore,3,Amazon Bookstore Cooperative (now known as True Colors Bookstore),https://bluesyemre.files.wordpress.com/2015/11/5d92dab6-81b6-11e5-a120-a0a302546e91-1560x1056.jpg
29,Hollywood,The first openly lesbian* actress to play an openly lesbian character on TV,1st Openly Lesbian Actress to Play Openly Lesbian Character - TV,1,Ellen Degeneres,https://www.thesprucepets.com/thmb/c87ds9hUAWMY1CnseyH-7oxRkOA=/2121x0/filters:no_upscale():strip_icc()/golden-retriever-puppy-in-grass-923135452-5c887d4146e0fb00013365ba.jpg
30,Religion & Politics,The world's first openly lesbian head of government,World's First Openly Lesbian Head of Government,2,Johanna Sigurdardottir: Iceland's first female Prime Minister (2009).,https://cdn.britannica.com/71/73371-050-9DFAEC1E/Reykjavik-Iceland.jpg
31,Religion & Politics,The first openly lesbian senator in US History,1st Openly Lesbian Senator,2,Tammy Baldwin from Wisconsin - elected in 2012.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Wisconsin_in_United_States.svg/300px-Wisconsin_in_United_States.svg.png
